GAIpos,lemp,HHI,ltdc,lni,lprod
.52582967,1.7749523,1,8.6035986,12.390757,12.413164
2.0407791,2.9444389,.38212562,8.843751,12.957509,12.973723
.84879398,2.4503152,1,8.0862169,10.881143,10.940468
3.8011944,2.1633229,1,8.7986879,12.09592,12.132237
2.0407791,.068592794,1,8.0905685,10.664488,10.737958
4.0617208,2.1162555,.56639904,8.4321709,13.294637,13.302338
5.207973,.87671798,1,8.814311,12.400074,12.427413
2.6059666,3.8801196,.5111382,9.163497,13.871482,13.880465
1.8379138,4.7544518,.24691892,9.6317015,14.642752,14.649394
1.1506019,1.751111,.52810895,8.4220963,12.552129,12.568083
1.1506019,1.9471951,.53210437,7.8645763,7.2896104,8.3110065
1.6978754,2.1400661,.67861372,9.299777,12.855184,12.883352
2.6687937,1.011601,.57809466,9.131031,12.569222,12.600841
2.4265707,2.6300166,.34657419,8.5063572,11.598391,11.642799
2.1429641,1.0529174,1,7.5317173,12.411192,12.418764
.48444641,2.7517481,1,8.9948168,12.884647,12.90489
.86699533,.6135627,1,7.3608046,9.7229443,9.8129845
.92953503,4.3346729,.82918668,10.201306,17.114429,17.115423
3.0816507,1.9459101,.39771751,9.019598,12.803446,12.825926
2.062223,5.7462034,.42759252,9.3216887,14.319715,14.326444
2.0085475,.34003732,1,8.9148664,12.095957,12.136657
3.5681229,1.3083328,.61137557,8.2067871,11.469333,11.506908
3.2431331,5.1233687,1,9.3838911,14.123976,14.132676
1.0284774,1.605229,.81391007,9.0956745,11.212342,11.326057
1.2313429,2.4318573,.73355293,8.3609371,12.199094,12.220398
2.5466695,3.650866,.74737424,9.4145908,13.181346,13.204209
1.4735662,1.7749523,1,7.928205,11.223963,11.260333
2.14695,2.3288374,1,9.0255089,14.599382,14.60317
1.0698607,2.1747518,1,8.4028978,10.847815,10.930991
1.9186548,1.1672051,.63165331,8.3469467,12.171486,12.19308
1.3928251,3.0558863,1,8.4596004,12.64304,12.658171
1.4556522,1.8035233,.99226755,7.7329793,10.401258,10.468329
1.3928251,4.6101575,.25740895,9.6458893,14.778049,14.783936
1.312084,5.7235851,.17093088,9.9818659,15.815458,15.818381
1.6350483,3.7612002,1,9.0482941,14.27359,14.278955
2.3243856,2.7080503,.4100965,9.1843596,12.073309,12.127451
3.5589712,3.3437448,.51600426,8.0415335,11.461456,11.493648
.62477207,1.6478891,.94988143,7.4543457,12.530579,12.536802
1.8379138,3.6888795,.38792947,8.4906483,13.459749,13.466675
1.2524993,4.2195077,1,9.7440844,13.937139,13.952127
1.6764315,2.0149031,.60159016,8.649868,12.326227,12.351228
1.1092186,1.410987,.8251912,8.456708,12.47114,12.489032
1.2707007,3.2027464,1,8.8221426,13.578844,13.587401
1.9600381,2.6620064,.56481296,8.1632471,11.54798,11.581306
3.4337063,1.3156036,1,8.9982595,9.672039,10.084002
2.4858677,4.3944492,.52698374,9.8574381,14.317094,14.328594
1.6171343,2.7080503,.59049261,8.8573713,12.698534,12.719775
.76805288,1.8245493,1,9.7639189,12.860106,12.904334
1.6350483,1.4788735,1,7.3769946,10.038106,10.105643
1.1506019,1.6024133,.85627586,8.1261997,12.014481,12.034754
.46328998,3.8437443,.5478465,7.143486,10.653378,10.682839
1.2544228,.36325327,1,9.4485636,13.149302,13.173706
.86699533,2.5583119,.99281573,8.4618683,13.341545,13.349115
1.312084,3.1548705,1,9.1896267,13.496377,13.509765
6.2888002,5.7137327,.37095964,9.8053961,15.403384,15.407083
.24222314,2.1192629,1,8.9268007,11.171857,11.272535
1.6903597,5.0625949,1,8.9175205,13.629985,13.638927
3.1946235,1.3045418,.99421811,9.17869,13.280642,13.297047
2.2022614,5.9188938,1,9.2794142,15.647506,15.64922
1.7571727,2.4835725,.6595059,8.5790033,11.249797,11.316706
1.7157893,3.063391,.56459725,9.0527258,13.312972,13.326992
3.3167479,5.2007046,1,9.2494278,13.280508,13.298107
1.3928251,1.1006103,.95973706,8.6921291,11.584756,11.638705
.24222314,.041141942,1,7.7982602,10.780435,10.829874
1.2544228,2.7972813,.59148717,8.6732645,12.643363,12.662058
1.9163049,2.3418057,.42263848,8.7393131,12.741399,12.759511
1.6350483,3.9120231,.14523479,9.2419405,14.592386,14.597121
.78625429,1.8718022,.25937918,8.2609358,12.025355,12.048272
4.3684072,1.9600948,.37480131,8.913641,9.4436188,9.9064837
2.3943391,.89486277,1,8.2850533,11.586263,11.622439
