GAI,lemp1,HHI,ltdc,lni
3.5481515,6.7309074,1,9.6890192,13.129725
2.0514035,6.2025208,.99340969,7.6069589,13.359804
1.1397823,6.8041339,1,7.2940402,12.952997
1.2619066,4.9806576,.68661517,7.6287432,10.177667
1.5848709,8.6120234,.59176064,9.2846966,12.987459
1.0639197,4.78158,.61473137,7.2887082,7.6563373
1.1397823,6.1119623,1,8.3706427,11.383546
3.6288927,5.004539,.75007236,8.1422796,11.58743
2.0299597,6.7550206,1,7.8262668,12.402124
4.2947607,9.0224228,1,9.1966038,12.845291
1.7877364,4.9350719,.61809272,9.0455465,12.190959
4.7290616,7.1179652,1,9.5744143,14.72699
2.2936268,8.0322046,1,9.6226473,15.453341
2.3135662,4.9662032,1,6.3003106,12.139259
1.2619066,2.0263512,1,6.7127919,11.277102
1.1397823,4.9554172,1,8.4884319,11.725048
2.8699913,4.7487903,1,7.7672143,8.4531879
.97830009,4.9110708,1,6.4207501,10.50682
1.5041299,3.0497401,1,6.8521895,8.5203876
1.7877364,4.1290703,1,8.0818777,8.793005
.79861665,6.840066,1,9.7250013,13.960476
1.0590413,6.1586151,1,7.8021874,11.218272
.97830009,4.3069572,1,8.3486719,11.302908
1.5434877,5.4884572,.88034117,8.4156809,12.018906
1.3012645,4.7676587,1,7.497313,11.397806
2.9415808,7.4452815,1,8.5847654,11.911701
.51501012,7.6957321,1,7.846971,11.767498
2.9415808,2.474376,1,7.9897575,9.6404982
.43426907,3.9846072,1,7.3752213,10.874834
1.2205234,6.4887547,1,8.6955385,10.769684
.43426907,4.0966935,1,6.8722782,9.3574667
1.5073724,6.840066,1,8.2666912,10.490607
3.2844844,7.0168824,.71093613,9.7407675,11.646871
.43426907,6.2062969,1,6.5367584,10.185541
1.3426478,1.6208861,1,7.2472386,9.2137346
3.4443307,1.5534449,1,7.9466667,7.8520503
2.6579742,6.8747516,1,9.0800486,10.192419
2.4249027,4.8823214,1,8.1155691,11.006756
1.3012645,6.7668629,1,8.9351425,11.981678
1.2619066,6.8633227,1,8.4993134,12.265285
4.1547222,7.0272775,.75903904,9.3016977,13.148031
4.4383287,8.1965075,.72542661,8.9619856,15.593847
3.5481515,4.8823214,1,8.1383419,10.91975
3.0223217,8.9743443,1,9.6507845,16.010622
.43426907,4.2474432,1,6.5649128,9.7179403
4.5282216,6.365818,1,9.3355503,11.787522
.43426907,5.2110257,1,5.7961855,10.157199
1.4266312,6.3430662,1,6.6605558,10.088057
.816818,4.6848865,1,6.0668736,8.5024853
1.2205234,5.8631506,.78172129,7.9483619,11.010151
.99945652,6.4227667,1,8.079586,11.358608
.59575117,5.2164102,1,8.1620979,10.730466
1.8899213,6.8860512,1,8.4497862,12.091784
1.7284391,6.0228219,1,7.5768495,10.077525
2.1914418,6.404748,1,7.9544048,11.173908
2.2097452,5.9406905,1,8.6822176,13.219249
2.0908632,2.6125264,1,9.6324701,10.565789
.75723338,4.0108447,1,8.2057047,11.91785
2.2936268,6.4578581,.54467601,8.7834835,11.898439
1.7284391,7.5332131,1,9.8298426,13.770514
1.7069952,6.8342848,.89176548,9.0774288,11.704372
1.2205234,4.6989994,1,7.5518842,10.68279
1.7069952,1.4031627,1,8.75949,10.245728
2.1914418,7.0513754,1,8.0674944,11.465844
2.6993575,7.209599,.36617285,7.6956587,12.114121
1.7463531,5.5428596,.50734001,7.9381967,10.657541
.51501012,5.3790483,1,8.0662069,11.396762
2.3350101,6.7794414,.52004731,8.6243734,11.276836
1.5848709,6.3094378,1,8.0076218,10.522504
2.1735277,4.8371496,1,7.5640211,10.325023
1.3820055,7.0853624,1,8.0654039,11.074188
3.6288927,9.6199808,1,9.1516018,11.97035
.67649221,5.3130212,1,7.0949559,11.433113
2.7478671,2.7480717,1,8.1832304,11.778937
1.9078352,9.094449,.93137211,8.5794144,13.964138
1.3426478,6.1586151,1,10.767695,13.363042
1.0639197,3.851368,1,6.8452659,9.2208843
2.0927868,6.6459103,.53071272,8.87183,10.19047
1.2205234,8.5543938,.78113568,8.5040026,11.913994
1.0316881,6.8517623,1,8.1683207,11.013864
2.6993575,6.6169224,1,8.4696207,12.165657
2.0299597,7.7445226,1,8.786088,12.63134
1.202322,5.9550462,1,7.4114571,10.258536
2.3350101,4.6746821,.56789821,8.6638861,11.560982
.59575117,5.494801,1,9.2529192,13.211716
1.7694329,6.6740808,1,9.1146383,14.003775
1.5252863,6.6058321,1,6.9709458,11.109533
.59575117,4.4768562,1,8.7204494,13.974222
2.1198523,4.6359944,1,8.1997147,11.663042
1.4859285,6.6947002,1,9.733552,15.081613
2.1735277,7.2416019,.66205406,8.9819088,12.259846
3.2251873,6.7794414,1,9.1888914,11.379395
4.9179993,7.521379,1,9.6662006,14.020897
2.83776,5.0336108,1,7.3445439,11.445524
.70872378,4.8823214,.88859856,7.8674707,9.7374334
2.5557895,6.3677068,.84942412,8.5414934,11.554921
1.8362459,4.0948639,1,8.0819979,13.703589
1.4266312,2.9683945,1,8.7849255,11.290432
