ni,emp,HHI,tdc1,GAI
6960,97.90000000000001,1,14401.404,-.092164762
2269,29.762,1,13498.694,-.029337626
572.4,34.2,1,11516.976,-.33438799
137.011,1.943,1,3065.634,-.49587011
54.458,3.5,.95656931,954.7089999999999,-.49587011
-3.765,.553,1,802.571,1.4765623
52.075,1.152,1,5001.461,.33500996
68.392,3.398,1,3917.828,.49649212
31.714,.927,.47743377,2394.661,.051403448
327,5.184,.91523087,4900.702,.5772332
9.439,2.803,1,2200.352,-.73809332
7036,110,.48390979,18286.621,1.201718
16.168,1.868,1,5244.221,.65797424
1679,13.025,.9261182,9207.246999999999,-.49587011
494.09,4.542,.95404822,7934.369,.029959602
5.657,2.987,1,1391.793,.33500996
-74.68300000000001,1.2,1,2199.819,.92013693
208.7,1.759,.96023524,3428.653,-.05078147
502.14,11,.83156407,5652.131,-.029337626
354.725,13.394,1,5892.132,-.01142369
4.776,.911,.36802137,1380.154,-.49587011
-33.842,47,1,9934.704,1.6702759
442.6,26,1,10138.804,-1.0216999
165.465,89.5,1,22366.272,.60429883
827.6,22.5,.50822228,7299.71,-.41512907
46.32,2.8,.50843859,2297.709,.70648378
152.149,11.268,1,3649.755,1.000878
1020.661,77.8,1,10157.789,-.91980237
51.965,.02,1,5055.533,-.40597731
331.655,2.985,1,1698.675,-1.102441
746,5.829,.77411067,5481.672,-.77947664
2072,95,.52839112,5324.78,-.01142369
40.5,8.9,1,4576.182,-.86021769
11.497,1.335,1,3977.331,.83775985
233.772,23.785,.53509957,7006.547,1.081619
1053.849,40.706,.99911851,12487.972,.71727145
282.9,13.4,1,5850.159,1.4459666
688.7,6.91,1,7241.597,.71727145
478.7,11.5,.53429824,10348.278,.3943072
250.136,21,1,6088.154,-.45651233
105.107,.72,.63462675,1449.498,-.77947664
-155.14,1.7,1,3314.169,-.51407152
1133,12.768,1,9369.187,-.17290583
60.484,.707,1,1989.214,-.9409588
2421,26.703,.9828918,11004.953,.96864641
2181,49.583,1,5916.951,-.083013028
13345,281.45,.98249602,22588.045,.3529239
-4556,2.597,.55691141,6568.849,-.16375411
46.018,3.4,.60144567,970.751,-1.0216999
213.509,2.85,.9756152,8995.297,-.80682975
54.743,5.1,.43416986,2578.438,.61861646
883.7,51.25,.5387376,12112.056,2.2446151
75.968,2.073,1,3691.263,.11070067
-6.204,6.9,.81039739,1964.839,-1.102441
1311.244,5.3,.88693672,10501.6,2.4060974
997,7.3,.99133462,5274.908,.49649212
62.126,2.125,.97759628,2508.227,.49649212
23.944,3.05,1,3676.625,1.9701604
686.773,51.7,.81139845,5779.691,-.17290583
173.5,3.713,1,4912.927,-.77947664
24.247,5.9,.55110717,1114.767,-.61799449
-377.9,9.199999999999999,1,6069.484,-.25364691
244.863,12.2,1,5426.32,1.0708313
219.037,10.4,1,4253.723,-.25040445
32.088,3.164,1,3958.646,-.65735227
247,30,1,7693.907,.31356612
206.477,4.1,.95020467,5271.908,-.69873554
2986,29.977,1,14911.852,-.61799449
199.385,10.45,.97226596,7232.342,-.9409588
-160.183,6.55,1,2872.815,-.77947664
-70.8,14.709,1,5806.769,.11070067
66.089,2,1,5187.381,-1.2427666
527.1,3.115,.67402947,5602.831,-.9409588
201.591,6.874,.97886866,5201.988,-.092164762
796.5,22.03,.42604282,8135.527,-.05078147
64.869,3.586,1,3445.917,-1.0216999
1220,113,.95841134,10254.503,-.53725344
7340,84,1,14966.043,1.51592
281,13.57,.53056461,6224.199,.41575104
991,8.9,.55763024,7747.567,.11070067
124.299,12,.91541749,2106.405,-1.1620256
630,8.526999999999999,1,6362.069,1.3937956
-1037.361,1.179,1,4217.207,-.77947664
340.383,1.611,1,7366.724,-.51407152
5813,200,.77375072,12180.225,-.41512907
4844,444,1,10030.2,-.19110721
-44.342,6.4,1,883.976,-.95916015
7608,197.2,.50004035,10547.063,-.41512907
-1995,30,1,26965.004,-1.102441
109.016,24,1,3529.437,-.41512907
680.528,74.59999999999999,.99766922,26773.52,.97381234
40.117,10.697,.64281958,3181.603,.3943072
399.506,11.13,1,9097.092000000001,.27218282
411.485,7.3,1,7507.019,.11070067
-31.978,.783,1,2680.23,.667126
-108.514,22.4,1,4968.737,-.69873554
760.434,4.089,1,10131.207,1.8894193
44.807,.433,1,2006.183,-1.2427666
14694,2300,1,19404.042,-.69873554
4220,360,.76859874,7133.155,-1.3235078
132.579,1.529,.50015163,3768.319,-.49587011
-100.655,21,.58744401,362.174,-.71693695
123.227,1.938,.96212131,3465.63,-.45651233
172.929,5,1,8211.545,-1.183182
174.352,.312,1,3860.996,-.25364691
1465,76.449,1,11708.163,-.35258937
106.363,2.125,.34904245,1557.753,4.9958882
783,97,1,13413.348,-.092164762
-571,6.578,.99187905,7532.345,1.51592
640.3,8.443,.98659152,11253.276,1.4674104
388.4,4.07,.97331887,4691.635,3.0289462
122.8,6.55,.92522871,10093.703,-.77947664
181.452,6.955,1,5388.664,-.25364691
143.715,10,.49298719,4152.472,-.25364691
474,143.6,.47396737,10613.09,2.2140195
.7,32.3,1,5215.544,1.5895349
2277.658,216,.79273683,17962.232,.67588818
229.5,13.3,.50664687,1754.872,.029959602
15.865,.51,1,461.563,-.57336873
29.6,1.496,.35823038,1505.921,.051403448
92.336,6.414,1,1237.276,.13214453
74.345,6.576,.84577954,5990.724,-1.2105352
211.221,5.822,1,3800.379,-.86021769
-6692,5.8,.51145816,14884.14,2.6089628
1990,72,.86155885,10407.71,2.3253562
142.873,35.9,1,8626.984,.78009862
6127,56.218,1,22116.052,.90019745
1223,5.999,1,8492.018,-.41512907
197.836,.062,1,4788.996,2.8603377
12193,118,.6750831,18294.27,.029959602
8901,136,1,41121.896,1.7903748
265.736,9,1,5913.397,2.3345079
-378.867,6.279,1,9194.615,.92765266
520.963,4.868,1,6527.703,.029959602
.158,.717,1,1765.191,-1.4849899
32.779,.552,1,3733.023,1.6380444
-20.606,.086,1,2307.983,-.41940236
-97.407,.763,.73116118,807.484,4.5293555
32.797,3.74,1,537.458,-.86021769
123.714,12.325,.65386927,5900.225,-.37577128
58.723,5.6,1,1952.636,-1.2427666
117.817,18.3,1,2250.003,-.41512907
363.167,3.9,1,9450.566000000001,-.77947664
35.54,.58,1,1952.9,.94158077
175.635,7.834,.79425865,9634.532999999999,-.19081977
382.927,4.3,.96151614,3070.25,-1.0216999
186.9,4.7,1,2112.772,-.86021769
175.449,14.177,.90398675,24539.725,.667126
629.551,13.893,1,18357.186,1.2522529
183.1,34.7,1,7816.134,.41575104
270.7,3.5,1,7226.638,-1.0216999
51.763,1.008,.95056027,3590.221,.3529239
35.745,3.577,.80831051,1211.211,-.69873554
712,22,1,10001.319,1.3059283
-.448,8.5,1,3883.346,-.39204922
84.643,1.68,.99274236,8856.923000000001,-.029337626
596,11.5,1,11482.461,-.16610397
342.68,24.197,.97154874,10406.469,.67791367
127.844,6.5,1,6066.587,.13214453
70.18300000000001,3.4,1,3286.977,-.29300469
73.056,4.2,1,557.212,-.79767799
539.362,22.2,1,5544.415,-.95916015
-306.172,5.7,1,3264.7,-1.2427666
8306,20.5,.59232175,14138.203,-.19110721
-816.4,5.83,1,7321.304,-.49587011
94.33199999999999,14,1,5236.788,-.33438799
27.566,6.049,1,4111.256,2.0739813
108.812,20.7,1,6358.988,-.092164762
-559.235,.187,1,6878.736,2.5190699
-58.587,.031,1,2606.7,.75865477
44.625,1.55,1,966.144,-.6361959
216.001,12.264,1,5965.607,-1.3235078
1267.6,28.58,.99140108,10143.552,.27218282
137.544,.902,1,3795.558,-.05078147
-2.682,2.1,.50116479,1272.122,-.86021769
-26.025,2.37,1,3493.558,-1.4849899
-8.407999999999999,2.567,1,2026.29,.17352781
43.463,1.09,.86389941,1708.873,-.57661122
252.417,6.7,1,5929.493,2.1588104
3433,12.5,1,11199.523,.86083966
79.533,2.707,1,5609.968,-1.1620256
1757,94.59999999999999,.97164959,9373.907999999999,3.935077
615.3099999999999,.625,1,5721.592,.19144174
168.393,5.3,1,10681.051,.78009862
180,.17,.88705903,2692.578,.5772332
23.691,0,1,147.877,.97381234
1602,6.971,1,22472.912,.55578935
38.147,.747,1,19021.87,-.59481257
30.498,3.4,1,6956.709,.37436774
251.2,11.4,.70454842,6477.754,.15686032
1413,21.9,.89388084,49152.802,1.1444463
339,9,1,7413.371,.14129625
47.739,5,1,1713.098,-1.4042488
108.645,4.798,.95606208,3503.629,-.77947664
20.009,14.2,1,1818.72,-.57661122
86.502,2.803,1,9093.811,3.8404078
57.217,1.228,1,2937.467,.029959602
44.102,12.9,.84827018,2533.508,-1.0216999
57.279,3.9,.75534904,5774.187,-.05078147
206.038,8.25,1,5891.095,-1.1620256
150.798,2.172,1,1919.01,.29362667
30.437,.311,1,630,-1.4042488
455.361,8.1,1,7114.357,1.1444463
-273,3.732,1,13122.449,.667126
-447.72,65.40000000000001,1,13271.94,-.71693695
296,17.1,1,6010.627,.86083966
753,40.6,.74350631,10265.934,.029959602
-82.477,3.8,.8754735,3970.486,-.33438799
65.97499999999999,8.49,1,4191.865,.029959602
-12236,34.5,.39298651,6701.115,1.2231618
8,49,1,4297.279,.94158077
128.738,1.409,.99121767,5531.118,-.57661122
503.694,7.621,1,16139.411,1.5481516
634,4.493,.99340969,2012.15,.051403448
422.1,8.199999999999999,1,1471.504,-.86021769
-655.492,2.492,1,1028.432,.11070067
-14454,6.6,1,9876.895,2.0739813
26.309,1.324,.68661517,2056.464,-.73809332
436.9,50,.59176064,10771.902,-.41512907
-2.435,.188,1,6371.345,-.49587011
2.114,1.085,.61473137,1463.679,-.93608034
87.864,4.104,1,4318.41,-.86021769
107.735,1.356,.75007236,3436.744,1.6288927
243.318,7.807,1,2505.558,.029959602
-32.135,2.8,.50887555,3027.753,.069317386
379,75.371,1,9863.575000000001,2.2947607
197,1.265,.61809272,8480.683000000001,-.21226361
2488,11.223,1,14391.801,2.7290616
5144,28,1,15102.979,.29362667
187.074,1.305,1,544.741,.31356612
78.992,.069,1,822.865,-.73809332
123.63,1.291,1,4858.241,-.86021769
4.69,1.05,1,2361.883,.86999142
36.564,1.235,1,614.4640000000001,-1.0216999
-4524.515,2.76,1,7734.737,-.17290583
5.016,.192,1,945.95,-.49587011
-159.233,1.146,1,2566.585,.47341228
6.588,.5649999999999999,1,3235.303,-.21226361
1156,8.5,1,16730.707,-1.2013834
-6.9,1.7,1,1486.751,-.02018589
74.479,4.3,1,2445.947,-.9409588
81.057,.675,1,4224.568,-1.0216999
165.861,2.2,.88034117,4517.349,-.45651233
-93.384,102,1,5221.197,-.86021769
89.126,1.07,1,1803.191,-.69873554
149,15.569,1,5349.538,.94158077
128.991,20,1,2557.974,-1.4849899
-147,25,.74510938,9818.800999999999,-.86926734
15.375,.108,1,2950.581,.94158077
16.655,.311,1,0,-1.102441
52.83,.489,1,1595.945,-1.5657309
47.557,5.982,1,5976.188,-.77947664
11.585,.547,1,965.145,-1.5657309
35.976,8.5,1,3892.049,-.49262765
114.333,10.144,.71093613,16996.585,1.2844845
26.517,4.51,1,690.046,-1.5657309
-233.8,12,1,4904.715,.17352781
-881,7.2,1,5725.808,1.6471961
10.034,.046,1,1404.222,-.65735227
2.571,.043,1,2826.139,1.4443307
26.7,8.800000000000001,1,8778.392,.65797424
-72.40000000000001,2.6,1,4188.49,.13214453
-131.759,1.9,1,2196.394,-.11759446
60.28,1.2,1,3346.16,.42490277
159.8,7.9,1,7594.216,-.69873554
-189.303,.137,1,2052.941,-.9409588
212.2,8.699999999999999,1,4911.394,-.73809332
513,10.25,.75903904,10956.603,2.1547225
-502,5,1,3091.848,-.1100787
-85.297,.58,1,6854.352,-.14982602
5920,33,.72542661,7800.83,2.438329
55.257,1.2,1,3423.236,1.5481516
-113.891,.624,1,8998.741,-.21226361
-4385.448,1.356,1,5538.443,.11070067
8981,71.833,1,15533.968,1.0223218
16.613,.636,1,709.75,-1.5657309
131.6,5.29,1,11333.859,2.5282216
25.776,1.667,1,329.042,-1.5657309
24.054,5.171,1,780.985,-.57336873
-7.226,.357,1,425,-1.3720173
-126.183,3,.52857953,4120.138,-.1100787
4.927,.985,1,431.33,-1.183182
60.485,3.2,.78172129,2830.934,-.77947664
-3554,1.7,1,6630.474,-.82798618
85.7,5.6,1,3227.897,-1.0005435
45.728,1.676,1,3505.532,-1.4042488
178.4,8.9,1,4674.075,-.1100787
23.802,3.754,1,1952.468,-.27156085
71.247,5.5,1,2848.093,.19144174
2129,233,1,13970.215,-.25040445
550.867,3.458,1,5897.11,.20974521
38.785,.124,1,15252.066,.090863325
-9.186999999999999,1.573,1,1982.17,.6365304
149.919,.502,1,3661.78,-1.2427666
147.037,5.8,.54467601,6525.567,.29362667
-8.776,2.215,1,795,-1.5657309
956,17,1,18580.029,-.27156085
-90,8.1,1,7100.841,.3529239
121.1,8.451000000000001,.89176548,8755.424000000001,-.29300469
-1047.109,.125,1,3138.686,-.77459818
43.599,.999,1,1904.327,-.77947664
28.162,.037,1,6370.864,-.29300469
-4,5.1,1,9332.389999999999,.49649212
95.401,10.5,1,3189.1,.19144174
182.43,12.3,.36617285,2198.782,.69935757
